GP-RBF RMSE,GP-RBF NLPD,GP-RBF MSLL,GP-RBF Coverage,GP-RBF Interval Len,GP-RBF Time,GP-Laplace RMSE,GP-Laplace NLPD,GP-Laplace MSLL,GP-Laplace Coverage,GP-Laplace Interval Len,GP-Laplace Time,GP-ARD-RBF RMSE,GP-ARD-RBF NLPD,GP-ARD-RBF MSLL,GP-ARD-RBF Coverage,GP-ARD-RBF Interval Len,GP-ARD-RBF Time,GP-ARD-Laplace RMSE,GP-ARD-Laplace NLPD,GP-ARD-Laplace MSLL,GP-ARD-Laplace Coverage,GP-ARD-Laplace Interval Len,GP-ARD-Laplace Time,GP-RFM-Laplace RMSE,GP-RFM-Laplace NLPD,GP-RFM-Laplace MSLL,GP-RFM-Laplace Coverage,GP-RFM-Laplace Interval Len,GP-RFM-Laplace Time,NG-Boost RMSE,NG-Boost NLPD,NG-Boost MSLL,NG-Boost Coverage,NG-Boost Interval Len,NG-Boost Time,Cat-Boost-Ensemble RMSE,Cat-Boost-Ensemble NLPD,Cat-Boost-Ensemble MSLL,Cat-Boost-Ensemble Coverage,Cat-Boost-Ensemble Interval Len,Cat-Boost-Ensemble Time,GP-RBF RMSE std,GP-RBF NLPD std,GP-RBF MSLL std,GP-RBF Coverage std,GP-RBF Interval Len std,GP-RBF Time std,GP-Laplace RMSE std,GP-Laplace NLPD std,GP-Laplace MSLL std,GP-Laplace Coverage std,GP-Laplace Interval Len std,GP-Laplace Time std,GP-ARD-RBF RMSE std,GP-ARD-RBF NLPD std,GP-ARD-RBF MSLL std,GP-ARD-RBF Coverage std,GP-ARD-RBF Interval Len std,GP-ARD-RBF Time std,GP-ARD-Laplace RMSE std,GP-ARD-Laplace NLPD std,GP-ARD-Laplace MSLL std,GP-ARD-Laplace Coverage std,GP-ARD-Laplace Interval Len std,GP-ARD-Laplace Time std,GP-RFM-Laplace RMSE std,GP-RFM-Laplace NLPD std,GP-RFM-Laplace MSLL std,GP-RFM-Laplace Coverage std,GP-RFM-Laplace Interval Len std,GP-RFM-Laplace Time std,NG-Boost RMSE std,NG-Boost NLPD std,NG-Boost MSLL std,NG-Boost Coverage std,NG-Boost Interval Len std,NG-Boost Time std,Cat-Boost-Ensemble RMSE std,Cat-Boost-Ensemble NLPD std,Cat-Boost-Ensemble MSLL std,Cat-Boost-Ensemble Coverage std,Cat-Boost-Ensemble Interval Len std,Cat-Boost-Ensemble Time std,dataset,samples,features
5.1649,3.3152,-0.9023,0.0417,39.9684,5.6247,4.9342,3.1955,-1.0221,0.0350,30.6059,4.2635,5.0771,3.2424,-0.9751,0.0413,36.5128,4.4744,4.8375,3.0636,-1.1540,0.0261,25.1250,4.2398,4.9390,3.0429,-1.1746,0.0243,24.1509,4.4505,5.6672,3.0846,-1.1329,0.0298,19.2636,3.1179,5.3957,3.0866,-1.1309,0.0414,17.0637,13.1103,0.8539,0.0541,0.0719,0.0098,2.1881,0.1457,0.6294,0.1154,0.1331,0.0104,0.8027,0.3242,0.8361,0.0776,0.0899,0.0097,2.0837,0.1186,0.7156,0.1369,0.1518,0.0156,0.6902,0.4143,0.6834,0.1286,0.1462,0.0157,0.8528,0.4256,0.6433,0.1400,0.1455,0.0280,1.7712,0.3985,0.5575,0.1788,0.1784,0.0344,1.8528,0.9603,Concrete Compression Strength,1030,8
0.5372,0.8400,-2.8825,0.0338,2.8408,0.8882,1.6181,1.9621,-1.7605,0.0279,8.3290,1.3786,0.4482,0.6581,-3.0644,0.0249,2.2212,0.9271,0.5804,1.1556,-2.5669,0.0481,4.3960,1.5367,0.4965,0.9515,-2.7710,0.0481,3.4807,1.3571,0.5141,0.6078,-3.1147,0.0274,1.9866,2.7234,0.5588,1.3234,-2.3992,0.0373,1.7964,5.9525,0.0881,0.0745,0.0845,0.0142,0.0700,0.0090,0.1648,0.0585,0.0693,0.0160,0.0656,0.0936,0.0466,0.0641,0.0859,0.0108,0.0304,0.0476,0.0655,0.0268,0.0517,0.0046,0.0471,0.3320,0.0431,0.0279,0.0546,0.0046,0.0345,0.2191,0.0463,0.1680,0.1791,0.0148,0.2474,0.2241,0.1193,2.2904,2.2969,0.0203,0.6647,0.7011,Energy Efficiency,768,8
0.0756,-0.7730,-0.8578,0.0499,0.6547,7.8375,0.0761,-1.0735,-1.1583,0.0376,0.4172,12.5205,0.0747,-0.7759,-0.8607,0.0499,0.6541,7.8674,0.0722,-1.1377,-1.2225,0.0381,0.3853,12.0966,0.0657,-1.2596,-1.3443,0.0321,0.3282,13.2497,0.1819,-0.3626,-0.4474,0.0082,0.6536,22.3981,0.1388,-0.6557,-0.7405,0.0081,0.4712,24.8655,0.0023,0.0057,0.0203,0.0003,0.0019,0.0981,0.0025,0.0148,0.0224,0.0033,0.0014,0.5642,0.0023,0.0056,0.0202,0.0003,0.0019,0.0786,0.0022,0.0147,0.0233,0.0036,0.0012,0.4330,0.0018,0.0149,0.0244,0.0042,0.0026,0.6537,0.0038,0.0185,0.0155,0.0053,0.0051,0.2512,0.0032,0.0219,0.0260,0.0051,0.0029,1.6878,Kin8nm,8192,8
0.0020,27.1793,29.9777,0.1608,0.0049,11.5056,0.0003,-5.7682,-2.9698,0.0500,0.0049,17.4098,176.6418,-,-,0.1825,0.0036,10.9200,0.0002,-5.9669,-3.1684,0.0500,0.0040,17.2876,0.0003,-5.9195,-3.1211,0.0500,0.0041,19.8079,0.0059,-3.9178,-1.1193,0.0479,0.0234,37.5817,0.0016,-5.4828,-2.6844,0.0444,0.0059,29.2242,0.0043,98.9010,98.9001,0.2245,0.0078,1.2598,0.0000,0.0052,0.0100,0.0002,0.0000,0.2460,595.5430,-,-,0.3225,0.0057,0.1480,0.0000,0.0043,0.0088,0.0000,0.0000,0.1934,0.0000,0.0361,0.0362,0.0000,0.0002,5.2316,0.0001,0.0138,0.0094,0.0013,0.0002,5.8329,0.0001,0.0322,0.0283,0.0023,0.0002,2.6337,Naval Plant Maintenance,11934,16
3.9517,3.1728,-1.0885,0.0484,33.5592,9.2673,3.4041,2.7214,-1.5400,0.0310,17.8956,14.7721,3.9448,3.1725,-1.0888,0.0484,33.5615,9.2302,2.6824,2.7131,-1.5482,0.0438,20.8760,15.0723,3.2018,2.6849,-1.5764,0.0343,17.7328,15.2813,3.8750,2.7677,-1.4937,0.0074,14.5355,11.9584,3.3635,2.6596,-1.6018,0.0220,11.1089,25.3693,0.1233,0.0070,0.0187,0.0010,0.0525,0.8142,0.1247,0.0198,0.0255,0.0037,0.0945,0.7598,0.1227,0.0069,0.0187,0.0010,0.0524,0.0730,0.1770,0.0176,0.0241,0.0023,0.1848,0.6198,0.1364,0.0214,0.0273,0.0034,0.1058,0.5343,0.1488,0.0749,0.0780,0.0041,0.6960,2.2816,0.3802,0.1451,0.1463,0.0156,1.9365,4.5353,Combined Cycle Power Plant,9568,4
0.6026,0.9114,-0.2717,0.0194,2.4992,3.2311,0.5517,0.8475,-0.3356,0.0197,2.6585,4.1511,0.6033,0.9202,-0.2629,0.0172,2.6270,3.3238,0.5635,0.8547,-0.3284,0.0181,2.6115,3.9449,0.5569,0.8500,-0.3331,0.0184,2.6239,4.0593,0.6212,0.9278,-0.2553,0.0209,2.2635,2.6412,0.6134,0.8973,-0.2858,0.0291,2.0861,15.4885,0.0440,0.0648,0.0285,0.0099,0.0667,0.0717,0.0433,0.0521,0.0422,0.0095,0.0346,0.1734,0.0412,0.0553,0.0337,0.0095,0.1211,0.0358,0.0435,0.0528,0.0339,0.0117,0.0285,0.2618,0.0435,0.0558,0.0437,0.0094,0.0531,0.2478,0.0445,0.0741,0.0409,0.0132,0.1561,0.6679,0.0507,0.1082,0.0631,0.0208,0.1694,2.2552,Wine Quality Red,1599,11
0.8173,1.0762,-3.0532,0.0366,3.7188,0.7283,2.9169,2.5045,-1.6249,0.0310,15.6999,1.1829,0.5183,0.8530,-3.2764,0.0368,2.8902,0.8103,1.1895,1.9921,-2.1372,0.0366,10.1187,1.4123,1.0447,1.4985,-2.6308,0.0323,4.7886,1.2185,0.7487,0.7046,-3.4247,0.0402,2.1121,2.0757,1.2838,0.4008,-3.7285,0.1053,1.5808,5.0563,0.2675,0.1051,0.1531,0.0164,0.1813,0.0648,0.8372,0.1010,0.0856,0.0190,0.3866,0.2183,0.2543,0.2459,0.2625,0.0159,0.0785,0.0172,0.5616,0.1086,0.1175,0.0164,0.1586,0.3088,0.3585,0.2114,0.2039,0.0162,0.1456,0.2006,0.2946,0.4721,0.4380,0.0364,0.9981,0.2763,0.7056,0.6086,0.5533,0.0749,1.3508,1.0566,Yacht Hydrodynamics,308,6
